dataset_name,ns,nt,beta,temperature,ml,ms,mres,zm,num_cfgs,pbpl,pbpl_err,pbps,pbps_err,pbp_rm,pbp_rm_err
L32T12_beta4.17ms0.040m0.0020,32,12,4.17,204.41333333333333,0.002,0.04,0.000339722,0.966247,108,0.0006864934985449735,0.00004332893217942757,0.012177465833333333,0.0007301615808860567,-0.000020496820100281747,0.000018947098045840344
L32T14_beta4.17ms0.040m0.0020,32,14,4.17,175.21142857142857,0.002,0.04,0.000339722,0.966247,291,3.4667933848797455e-6,3.4667933848797446e-6,0.000059962886597938016,0.00005996288659793846,-1.146805959410649e-8,1.146805959410651e-8
L48T16beta4.13ms0.043547m0.000805,48,16,4.13,138.23,0.000805,0.043547,0.000731464,0.937703,2000,0.0016687950369499987,6.341626533820122e-6,0.01942523692499998,1.3460934076140242e-6,0.0010608249581001642,6.740409618069169e-6
L48T16beta4.15ms0.040843m0.000930,48,16,4.15,145.75,0.00093,0.040843,0.000498493,0.95239,2024,0.0013591269210968414,6.444326217664843e-6,0.018080692183794475,1.280546693449951e-6,0.0007710873124156676,6.748422981807969e-6
L40T16_beta4.17ms0.040m0.0020,40,16,4.17,153.31,0.002,0.04,0.000339722,0.966247,879,0.000041360817690556836,8.518369355440488e-6,0.0001590206712172943,0.00005599800483159788,0.000033260178106092723,7.3584760455825174e-6
L48T16beta4.17ms0.038400m0.001001,48,16,4.17,153.31,0.001001,0.0384,0.000339722,0.966247,2008,0.0010739602505478092,6.417135088030311e-6,0.01686885733067727,1.2717187720555403e-6,0.0005072772575737479,6.623422034368915e-6
L48T16beta4.18ms0.037265m0.001022,48,16,4.18,157.03,0.001022,0.037265,0.000280451,0.972899,2029,0.0009706079228191211,6.424773431566196e-6,0.01629887386890096,1.3381211311712362e-6,0.0004164875183304906,6.585431487746827e-6
L48T16beta4.20ms0.035150m0.001041,48,16,4.2,164.55,0.001041,0.03515,0.000191127,0.98571,2072,0.0007670759758204612,5.541103871172309e-6,0.015245838146718127,1.266518472061239e-6,0.0002389624588705116,5.605914826626159e-6
L48T16beta4.23ms0.032315m0.001033,48,16,4.23,176.43,0.001033,0.032315,0.000107528,1.00385,2012,0.0005801773900099408,3.833525594812627e-6,0.013842386113320036,1.2033978433639227e-6,0.00009288585042718798,3.8091854131086085e-6
L48T16beta4.30ms0.026930m0.000939,48,16,4.3,202.52,0.000939,0.02693,0.0000280963,1.04224,2052,0.0004121020213937626,1.3854006496539982e-6,0.011249110073099445,9.010394646146372e-7,8.204250896347775e-6,1.3260690043694528e-6
L48T16beta4.405ms0.021032m0.000760,48,16,4.405,241.6,0.00076,0.021032,3.75269e-6,1.09274,4859,0.00031109724701584824,1.1402119025279712e-7,0.00855808989988876,2.506372605807638e-6,3.4370309563481836e-7,1.0352689698998097e-7
L48T18_beta4.17ms0.040m0.0020,48,18,4.17,136.27555555555557,0.002,0.04,0.000339722,0.966247,98,0.001626265591836734,0.0000824177390386743,0.014214908367346945,0.0007078331019488678,0.0008298028557882,0.00004421592306149791
L48T18_beta4.17ms0.040m0.0020_2,48,18,4.17,136.27555555555557,0.002,0.04,0.000339722,0.966247,76,0.00009021567251461975,0.00005141917254778669,0.00023142763157894738,0.00023142763157894697,0.00007947529555720343,0.000046592689755607554
