dataset_name,ns,nt,beta,temperature,ml,ms,mres,zm,num_cfgs,pbpl,pbpl_err,pbps,pbps_err,pbp_rm,pbp_rm_err
L32T12_beta4.17ms0.040m0.0020,32,12,4.17,204.41333333333333,0.002,0.04,0.000339722,0.966247,108,0.0009580577055555562,0.000023337180913091992,0.01686806666666667,0.000010698136943423484,-0.000021006781565234455,0.00002418202790781587
L32T14_beta4.17ms0.040m0.0020,32,14,4.17,175.21142857142857,0.002,0.04,0.000339722,0.966247,282,0.0011990416024822682,0.000023595878793750013,0.017284721347517722,7.418407195789306e-6,0.0002033848473257066,0.00002430403959929763
L48T16beta4.13ms0.043547m0.000805,48,16,4.13,138.23,0.000805,0.043547,0.000731464,0.937703,2000,0.0016687950369499987,6.341626533820122e-6,0.01942523692499998,1.3460934076140242e-6,0.0010608249581001642,6.740409618069169e-6
L48T16beta4.15ms0.040843m0.000930,48,16,4.15,145.75,0.00093,0.040843,0.000498493,0.95239,2024,0.0013591269210968414,6.444326217664843e-6,0.018080692183794475,1.280546693449951e-6,0.0007710873124156676,6.748422981807969e-6
L40T16_beta4.17ms0.040m0.0020,40,16,4.17,153.31,0.002,0.04,0.000339722,0.966247,174,0.0017111977176245217,0.000023323554594278647,0.017554798103448278,5.009420247792351e-6,0.0007172198625516877,0.000024036233677100786
L48T16beta4.17ms0.038400m0.001001,48,16,4.17,153.31,0.001001,0.0384,0.000339722,0.966247,2008,0.0010739602505478092,6.417135088030311e-6,0.01686885733067727,1.2717187720555403e-6,0.0005072772575737479,6.623422034368915e-6
L48T16beta4.18ms0.037265m0.001022,48,16,4.18,157.03,0.001022,0.037265,0.000280451,0.972899,2029,0.0009706079228191211,6.424773431566196e-6,0.01629887386890096,1.3381211311712362e-6,0.0004164875183304906,6.585431487746827e-6
L48T16beta4.20ms0.035150m0.001041,48,16,4.2,164.55,0.001041,0.03515,0.000191127,0.98571,2072,0.0007670759758204612,5.541103871172309e-6,0.015245838146718127,1.266518472061239e-6,0.0002389624588705116,5.605914826626159e-6
L48T16beta4.23ms0.032315m0.001033,48,16,4.23,176.43,0.001033,0.032315,0.000107528,1.00385,2012,0.0005801773900099408,3.833525594812627e-6,0.013842386113320036,1.2033978433639227e-6,0.00009288585042718798,3.8091854131086085e-6
L48T16beta4.30ms0.026930m0.000939,48,16,4.3,202.52,0.000939,0.02693,0.0000280963,1.04224,2052,0.0004121020213937626,1.3854006496539982e-6,0.011249110073099445,9.010394646146372e-7,8.204250896347775e-6,1.3260690043694528e-6
L48T16beta4.405ms0.021032m0.000760,48,16,4.405,241.6,0.00076,0.021032,3.75269e-6,1.09274,4855,0.00031128978898043255,2.634651560093848e-8,0.008561607555745199,2.7184925558427664e-7,4.0302659404913734e-7,2.0680450871955537e-8
L48T18_beta4.17ms0.040m0.0020,48,18,4.17,136.27555555555557,0.002,0.04,0.000339722,0.966247,79,0.0020173927594936683,0.00001904801480581601,0.017633683797468356,5.789367915432627e-6,0.0010293756945220704,0.000019550639786420444
L48T18_beta4.17ms0.040m0.0020_2,48,18,4.17,136.27555555555557,0.002,0.04,0.000339722,0.966247,71,0.002071263746478873,0.000019140986678392787,0.017644456338028164,6.8365230912685e-6,0.0010844818679878643,0.000019628532945692805
