mean,err
-0.06758942719478002,0.00003630574045782391
-0.046005059722642995,0.000021290076608610688
-0.008636516086287242,8.68521980205732e-6
-0.0025206796602700392,5.917847591562066e-6
-0.0010296896100523763,4.653215593615597e-6
-0.0005204713098556694,3.7703046948794417e-6
-0.000298937192748796,3.051375982692584e-6
-0.00018530570215485162,2.522120811774332e-6
-0.00012073247713480897,2.1590385087437817e-6
-0.0000819265264323059,1.942065609822172e-6
-0.000057273754040385956,1.8225377876667374e-6
-0.0000410611511359989,1.7188582812837454e-6
-0.000030109536269232467,1.5949417547618873e-6
-0.000022519514941415333,1.5005205261583877e-6
-0.000017128119358174263,1.441346433502362e-6
-0.000013060702753270668,1.3649681892530733e-6
-0.000010017176718853044,1.2808413024165526e-6
-7.753145430047716e-6,1.2001813894054248e-6
-6.062890435831212e-6,1.1051083430086125e-6
-4.868702018179692e-6,1.0108304666913628e-6
-4.211634916751498e-6,9.520926364619802e-7
-3.880030886047675e-6,9.6148694852366e-7
-3.629097140821437e-6,1.0376136665340331e-6
-3.403901653889413e-6,1.107849509581421e-6
-3.30924631159721e-6,1.1380802913232828e-6
-3.403901653889413e-6,1.107849509581421e-6
-3.629097140821437e-6,1.0376136665340331e-6
-3.880030886047675e-6,9.6148694852366e-7
-4.211634916751498e-6,9.520926364619802e-7
-4.868702018179692e-6,1.0108304666913628e-6
-6.062890435831212e-6,1.1051083430086125e-6
-7.753145430047716e-6,1.2001813894054248e-6
-0.000010017176718853044,1.2808413024165526e-6
-0.000013060702753270668,1.3649681892530733e-6
-0.000017128119358174263,1.441346433502362e-6
-0.000022519514941415333,1.5005205261583877e-6
-0.000030109536269232467,1.5949417547618873e-6
-0.0000410611511359989,1.7188582812837454e-6
-0.000057273754040385956,1.8225377876667374e-6
-0.0000819265264323059,1.942065609822172e-6
-0.00012073247713480897,2.1590385087437817e-6
-0.00018530570215485162,2.522120811774332e-6
-0.000298937192748796,3.051375982692584e-6
-0.0005204713098556694,3.7703046948794417e-6
-0.0010296896100523763,4.653215593615597e-6
-0.0025206796602700392,5.917847591562066e-6
-0.008636516086287242,8.68521980205732e-6
-0.046005059722642995,0.000021290076608610688
