mean,err
0.06658085723758442,0.00005006653502250069
-0.026915320859626703,0.000013632063885325013
-0.00456991078496502,7.724415455621104e-6
-0.001232263777308987,4.73881702986906e-6
-0.00047466030421148273,3.251989474802681e-6
-0.00022743643541378055,2.7071554615338114e-6
-0.00012379274340990114,2.5430484429047237e-6
-0.0000740007522290395,2.3402437066523047e-6
-0.00004642013372476493,2.289130521837128e-6
-0.000029371035459211336,2.357521089399968e-6
-0.00001834328951135312,2.308666043997746e-6
-0.000011398873027932897,2.227313781394661e-6
-7.1693993191666614e-6,2.1652478416257492e-6
-4.949177832350543e-6,1.9524795521582786e-6
-3.906705240277541e-6,1.6143579092898543e-6
-2.728588874627941e-6,1.3751011557622312e-6
-1.9418614656159673e-6,1.2600088960881773e-6
-1.4883995440642272e-6,1.2452367518564617e-6
-9.973419821817898e-7,1.315296314607468e-6
-4.0161547809607654e-7,1.310269526053377e-6
-6.071083256496373e-7,1.2293706151449145e-6
-1.1296725665989692e-6,1.261309965280122e-6
-1.5933173078413494e-6,1.4187433642364368e-6
-2.361839038688924e-6,1.559045781189243e-6
-2.684344725927558e-6,1.6054676681089195e-6
