mean,err
-0.06778465412994585,0.000030249312546318485
-0.04613707566055945,0.000017444026319927053
-0.008659531685123928,7.145003369546492e-6
-0.0025241626875900413,4.852406352333344e-6
-0.001029449432452957,3.4264715959128035e-6
-0.0005181532638705824,2.4371723944292375e-6
-0.0002954541763226135,1.7973010129554242e-6
-0.0001818142535785939,1.4606142875300742e-6
-0.00011769489579242654,1.247720894759613e-6
-0.00007883948714002451,1.0877440798088384e-6
-0.00005420982099327409,9.35068159923957e-7
-0.00003806559456900626,8.122565510643558e-7
-0.000027178925208286333,7.233342483152396e-7
-0.000019637811589132266,6.430254284881538e-7
-0.000014435260600619163,5.75057148844573e-7
-0.000010805159308150023,5.317626800775722e-7
-8.228217479628015e-6,5.076328838931995e-7
-6.350656218811279e-6,4.80662715759007e-7
-4.929214614343388e-6,4.4964094261040294e-7
-3.7860265883159125e-6,4.0535305563275667e-7
-2.9091104117317217e-6,3.7264989245043335e-7
-2.292180041556922e-6,3.4998393884700034e-7
-1.8845302508458752e-6,3.468165023972765e-7
-1.6659128543949023e-6,3.4756036597257956e-7
-1.6126446308126194e-6,3.4796819002895276e-7
