mean,err
-0.06739727808712113,0.000010530661349075709
-0.04585330245528538,6.973930087623129e-6
-0.008517477199990731,3.601010793624592e-6
-0.002424970449311656,2.614945788179298e-6
-0.0009503926465815606,2.048837823968969e-6
-0.00045494749932664804,1.6371115735844486e-6
-0.000245450797531007,1.3198019677854425e-6
-0.00014274435654094595,1.081039963085989e-6
-0.00008745987252872392,9.234105630161852e-7
-0.00005564206134064073,8.022942131314738e-7
-0.00003635380531518998,7.058217863403159e-7
-0.000024244047847189705,6.260065931152281e-7
-0.000016539628075236526,5.690503151581979e-7
-0.000011481886501355269,5.318735490333798e-7
-8.063844096441202e-6,5.012757758561057e-7
-5.725055697594531e-6,4.653873931328359e-7
-4.129731186681995e-6,4.276789803946006e-7
-3.0458330349610206e-6,4.0479527083453695e-7
-2.2917662718552538e-6,3.9909876141415853e-7
-1.7433554382279385e-6,3.901516272443123e-7
-1.3514920359144484e-6,3.8703121874410247e-7
-1.085730556422173e-6,4.0320993849609773e-7
-8.972005022010254e-7,4.2856511091772153e-7
-7.90832628417263e-7,4.5089626173287894e-7
-7.63185848767984e-7,4.589532947052501e-7
-7.90832628417263e-7,4.5089626173287894e-7
-8.972005022010254e-7,4.2856511091772153e-7
-1.085730556422173e-6,4.0320993849609773e-7
-1.3514920359144484e-6,3.8703121874410247e-7
-1.7433554382279385e-6,3.901516272443123e-7
-2.2917662718552538e-6,3.9909876141415853e-7
-3.0458330349610206e-6,4.0479527083453695e-7
-4.129731186681995e-6,4.276789803946006e-7
-5.725055697594531e-6,4.653873931328359e-7
-8.063844096441202e-6,5.012757758561057e-7
-0.000011481886501355269,5.318735490333798e-7
-0.000016539628075236526,5.690503151581979e-7
-0.000024244047847189705,6.260065931152281e-7
-0.00003635380531518998,7.058217863403159e-7
-0.00005564206134064073,8.022942131314738e-7
-0.00008745987252872392,9.234105630161852e-7
-0.00014274435654094595,1.081039963085989e-6
-0.000245450797531007,1.3198019677854425e-6
-0.00045494749932664804,1.6371115735844486e-6
-0.0009503926465815606,2.048837823968969e-6
-0.002424970449311656,2.614945788179298e-6
-0.008517477199990731,3.601010793624592e-6
-0.04585330245528538,6.973930087623129e-6
