mean,err
0.06652357818762211,0.00001541871804078943
-0.026877569966144967,4.754104868522529e-6
-0.004556890069548305,2.658358503833491e-6
-0.001229354984236272,1.9424598152558167e-6
-0.00047508763119424614,1.5512833266907456e-6
-0.0002295192035688862,1.2992519698075472e-6
-0.00012621763814194575,1.1500705964921376e-6
-0.00007492592112146966,9.906045237210814e-7
-0.00004662832817854724,9.025620110430946e-7
-0.000029980427497460098,8.566150006156116e-7
-0.00001990341459890111,7.99413365403653e-7
-0.000013554289822245024,7.423493855023517e-7
-9.334208301986043e-6,7.011247843893571e-7
-6.367745258270651e-6,6.777328600102041e-7
-4.232381924830993e-6,6.441532076353714e-7
-2.7448307901555987e-6,5.8561983073138e-7
-1.8545050676381775e-6,5.248227810733178e-7
-1.3396006418568797e-6,4.762457944777615e-7
-1.085198280581686e-6,4.3958984323392577e-7
-9.991353615982536e-7,4.2357352332998497e-7
-1.09082529367295e-6,4.2843373460586067e-7
-9.49289381735327e-7,4.773084800744791e-7
-8.603472552966578e-7,5.530051095037075e-7
-1.0293895216062228e-6,6.189867814080322e-7
-1.1448251908591308e-6,6.490176633555441e-7
-1.0293895216062228e-6,6.189867814080322e-7
-8.603472552966578e-7,5.530051095037075e-7
-9.49289381735327e-7,4.773084800744791e-7
-1.09082529367295e-6,4.2843373460586067e-7
-9.991353615982536e-7,4.2357352332998497e-7
-1.085198280581686e-6,4.3958984323392577e-7
-1.3396006418568797e-6,4.762457944777615e-7
-1.8545050676381775e-6,5.248227810733178e-7
-2.7448307901555987e-6,5.8561983073138e-7
-4.232381924830993e-6,6.441532076353714e-7
-6.367745258270651e-6,6.777328600102041e-7
-9.334208301986043e-6,7.011247843893571e-7
-0.000013554289822245024,7.423493855023517e-7
-0.00001990341459890111,7.99413365403653e-7
-0.000029980427497460098,8.566150006156116e-7
-0.00004662832817854724,9.025620110430946e-7
-0.00007492592112146966,9.906045237210814e-7
-0.00012621763814194575,1.1500705964921376e-6
-0.0002295192035688862,1.2992519698075472e-6
-0.00047508763119424614,1.5512833266907456e-6
-0.001229354984236272,1.9424598152558167e-6
-0.004556890069548305,2.658358503833491e-6
-0.026877569966144967,4.754104868522529e-6
