mean,err
-0.06660096213770969,0.000015767318578354676
0.026804628225078616,5.181463606739605e-6
0.0044940671027926885,3.2657418968895035e-6
0.0011783239912063087,2.3908462938218428e-6
0.000434603392838816,1.9424574934239475e-6
0.0001982570792050418,1.6396172323659813e-6
0.00010239285109449363,1.4150882221327388e-6
0.00005737111093057676,1.17250080483337e-6
0.00003410394988365151,1.002113601216229e-6
0.000021157331962051046,9.173734081332169e-7
0.000013496768127502333,8.491059059817724e-7
8.88838131407384e-6,7.938314120561294e-7
6.16887436918902e-6,7.510189516929096e-7
4.5943293510343206e-6,7.271571197950355e-7
3.4986347986537714e-6,7.05294849295021e-7
2.7299635572545397e-6,6.803040298484915e-7
2.1534932168583863e-6,6.210212036382662e-7
1.7986482560030956e-6,5.665144993674072e-7
1.6729362340555493e-6,5.195028640048426e-7
1.533539995620543e-6,4.844553662064863e-7
1.2132544284114712e-6,4.6593980100841365e-7
9.57444799257778e-7,4.920560843949601e-7
7.937822819290474e-7,5.574126749995812e-7
6.791932985310501e-7,6.171550446097207e-7
5.892923403606851e-7,6.508467111524164e-7
