mean,err
-0.06766593691767286,9.255078909617602e-6
-0.04608204558007073,5.491640526018378e-6
-0.00865215738904884,2.213879425503531e-6
-0.002524915201047815,1.4054342270344659e-6
-0.0010300683168388083,9.61286114790706e-7
-0.0005189985869519994,7.255032670267097e-7
-0.0002965560807409507,6.090119416343735e-7
-0.00018297095337050184,5.415184644786087e-7
-0.00011858602052957719,4.926592017975892e-7
-0.00007951650836475557,4.4602278387951894e-7
-0.00005468890875600065,3.96262711135283e-7
-0.00003825510721211396,3.534725010604074e-7
-0.00002705599867276507,3.2278090831741696e-7
-0.000019344387206811187,2.874192419613969e-7
-0.000013980499254929944,2.508348398678863e-7
-0.00001021574362288561,2.2588589215777926e-7
-7.563296127149274e-6,2.1384482165475565e-7
-5.690212187943196e-6,2.1061960602841654e-7
-4.328930105447223e-6,2.1400273398314545e-7
-3.325298177679388e-6,2.203781182572967e-7
-2.6253958652860316e-6,2.2745773128912136e-7
-2.146394575776471e-6,2.2876952132171853e-7
-1.8203327683328518e-6,2.2848587177514482e-7
-1.655644450058614e-6,2.317377245807557e-7
-1.6111302560770217e-6,2.3502620003004557e-7
