mean,err
0.0669441376420333,9.250698394594778e-6
-0.02704698453208615,3.613126669524384e-6
-0.004632358545133119,1.7292858357503527e-6
-0.001266357541350057,1.0200065316920903e-6
-0.0004972049651043518,7.23331623080532e-7
-0.00024373343767010677,5.851125528720737e-7
-0.00013526667931168326,5.203714088160985e-7
-0.00008053240364290345,4.5712704700420377e-7
-0.000050019344329670554,4.0486554136202005e-7
-0.000031878267336893,3.370671585948221e-7
-0.000020662137241573845,2.834136287103775e-7
-0.000013543788161177813,2.524672034459138e-7
-8.965033744054473e-6,2.397446151511439e-7
-5.996792546856523e-6,2.2886756880657855e-7
-4.062225213365658e-6,2.0372314269183654e-7
-2.7909747709982866e-6,1.7289477462309047e-7
-1.9384423356516846e-6,1.6270717461693472e-7
-1.3306343045958683e-6,1.2922931038481073e-7
-8.886098017225684e-7,8.403092090911392e-8
-5.848124587557832e-7,4.972642027692871e-8
-3.93908580771724e-7,3.4729318129370705e-8
-2.6658240586529835e-7,2.3869658257814136e-8
-1.8281725410560892e-7,2.2796197620522812e-8
-1.3399302528511472e-7,2.946356916262369e-8
-1.1670691509003964e-7,3.2574699780412144e-8
