beta,channel,mass_mean,mass_err,t_start,t_end
13,AV,0.29785510613071187,0.05806527061131148,16,25
13,PS,0.07338035150273017,0.0007923082249928585,8,25
13,S,0.010426585872394577,0.09740257143175941,14,25
13,Tt,0.3749236830908996,0.048643112574983216,10,25
13,Vec,0.264085290117606,0.021620400075551566,16,25
13,Xt,0.41306260230657754,0.05291690623707185,10,25
15,AV,0.30539561401495524,0.018127388279763457,13,25
15,PS,0.07514686919740604,0.0009692062385065576,8,25
15,S,0.27171294421509024,0.2767387437018109,10,25
15,Tt,0.3681618931371739,0.03952668177172191,10,25
15,Vec,0.2880826342962191,0.011723504995169418,13,25
15,Xt,0.28240754741271795,0.049275279426910394,10,25
17,AV,0.3100906385630087,0.014290868781624876,14,25
17,PS,0.08355285310501821,0.001377929751986344,8,25
17,S,0.12700192522343604,0.028690187056052977,8,25
17,Tt,0.368438433056947,0.05064295145457033,10,25
17,Vec,0.2931790163591732,0.011392381170699762,14,25
17,Xt,0.4090062597400939,0.04551436291026621,10,25
18,AV,0.2911015390411878,0.018002050000244206,16,25
18,PS,0.08993040488085649,0.0017348765519875442,8,25
18,S,0.08305513199548661,0.058277126676276006,18,25
18,Tt,0.43727685832988944,0.0477492100626351,10,25
18,Vec,0.2713552985374965,0.013529258048609417,16,25
18,Xt,0.3808471522653687,0.05698136172407136,10,25
20,AV,0.32461187724431206,0.012085426148427064,15,25
20,PS,0.09998990323520081,0.0021797329187490163,8,25
20,S,0.012585592059211621,0.17227548048420216,19,25
20,Tt,0.35961193908459904,0.0286503318086468,10,25
20,Vec,0.316120200299084,0.010979554038586196,15,25
20,Xt,0.37670020382649105,0.026261509872074585,10,25
23,AV,0.3299127263348244,0.007536759789085882,16,25
23,PS,0.13227178294387687,0.006182259730858684,8,25
23,S,0.26813928303802903,0.22567560085648378,8,25
23,Tt,0.44701329163893044,0.037044459030712545,10,25
23,Vec,0.3233619487985079,0.006218741064731248,16,25
23,Xt,0.40913500774686895,0.02517350691214568,10,25
30,AV,0.35293783671770085,0.0026119815836994874,16,25
30,PS,0.2009147818834245,0.021825305255874266,8,25
30,S,0.20077141661884498,0.03321025592210926,8,25
30,Tt,0.40293700196676796,0.005235138301816556,10,25
30,Vec,0.353264192624068,0.0025093279652174576,16,25
30,Xt,0.4048568417800178,0.005704485489519812,10,25
